list,subgroup,term,exclusions,search_field,source,date_added,status,note
context,boundaries,"(crossdisciplin* OR ""cross disciplinary"" OR ""cross discipline"")",,,,,potential,
context,boundaries,"(interdisciplin* OR ""inter disciplinary"" OR ""inter discipline"")",,,,,potential,
context,boundaries,"(multidisciplin* OR ""multi disciplinary"" OR ""multi discipline"")",,,,,potential,
context,boundaries,"(transdisciplin* OR ""trans disciplinary"" OR ""trans discipline"")",,,,,potential,
context,boundaries,"""convergence research""",,,,,potential,
context,metascience,"""research on research""",,,,,potential,
context,metascience,"""science of science""",,,,,potential,
context,metascience,"(metascien* OR ""meta science"" OR ""meta scientific"")",,,,,potential,
context,metascience,"(metaresearch OR ""meta research"")",,,,,potential,
context,collaborative,"""team science""",,,,,potential,
context,collaborative,"(""science of team science"" OR SciTS)",,,,,potential,
context,collaborative,"""boundary spanning""",,,,,potential,
context,collaborative,"(""community of practice"" OR ""communities of practice"")",,,,,potential,
context,STS,"""sociology of science""",,,,,potential,other terms related to cultural evolution of scientific practice or sociology of science?
context,STS,"""science and technology studies""",,,,,potential,
context,STS,"(""epistemic culture"" OR ""epistemic cultures"")",,,,,potential,
context,STS,"(""boundary object"" OR ""boundary objects"")",,,,,potential,
context,STS,"(sociotechnical OR ""socio technical"")",,,,,potential,
data,infrastructure,"""data commons""",,,,,potential,
data,infrastructure,"""knowledge commons""",,,,,potential,
data,infrastructure,"(""data infrastructure"" OR ""data infrastructures"")",,,,,potential,
data,infrastructure,"(""information infrastructure"" OR ""information infrastructures"")",,,,,potential,
data,infrastructure,"(""knowledge infrastructure"" OR ""knowledge infrastructures"")",,,,,potential,
data,infrastructure,"(""data repository"" OR ""data repositories"" OR ""dataset repository"" OR ""dataset repositories"")",,,,,potential,
data,infrastructure,"(""data portal"" OR ""data portals"")",,,,,potential,
data,infrastructure,"(""community data system"" OR ""community data systems"")",,,Bos et al. (2007) https://doi.org/10.1111/j.1083-6101.2007.00343.x,,potential,
data,infrastructure,"(""community infrastructure project"" OR ""community infrastructure projects"")",,,Bos et al. (2007) https://doi.org/10.1111/j.1083-6101.2007.00343.x,,potential,
data,interoperability,"(""data harmonization"" OR ""data harmonisation"" OR ""data harmonizability"" OR ""data harmonisability"")",,,,,potential,
data,interoperability,"(""construct harmonization"" OR ""construct harmonisation"" OR ""construct harmonizability"" OR ""construct harmonisability"")",,,,,potential,
data,interoperability,"""data integration""",,,,,potential,
data,interoperability,"""FAIR data integration""",,,,,potential,
data,interoperability,"(""data interoperability"" OR ""interoperable data"" OR ""interoperable datasets"")",,,,,potential,
data,interoperability,"""catalog interoperability""",,,,,potential,
data,interoperability,"""data discovery""",,,,,potential,
data,interoperability,"(""data connectivity"" OR ""connecting data"" OR ""connect data"")",,,,,potential,
data,KOS,"(""knowledge organization system"" OR ""knowledge organization systems"" OR ""knowledge organisation system"" OR ""knowledge organisation systems"")",,,,,potential,
data,KOS,(ontology OR ontologies),,title,,2026-05-14,potential,"discarded ""ontological"" as too noisy; demoted to title."
data,KOS,"(""ontological mapping"" OR ""ontological mappings"")",,,,,potential,
data,KOS,"(""knowledge graph"" OR ""knowledge graphs"")",,,,,potential,
data,KOS,taxonom*,,,,,discarded,much too noisy
data,KOS,"""semantic interoperability""",,,,,potential,
data,KOS,"""semantic binding""",,,,,potential,
data,KOS,"""semantic linking""",,,,,potential,
data,KOS,"(""semantic modeling"" OR ""semantic modelling"")",,,,,potential,
data,KOS,"""semantic web""",,,,,potential,
data,KOS,"""linked open data""",,,,,potential,
data,KOS,"(""controlled vocabulary"" OR ""controlled vocabularies"")",,,,,potential,"may need to allow for some word separating these two (i.e,. ""controlled [X] vocabular*"")"
data,KOS,thesaur*,,,,,potential,
data,KOS,crosswalk*,,,,,potential,
data,KOS,"(""metadata crosswalk"" OR ""metadata crosswalks"")",,,,,potential,
data,management,"(""data steward"" OR ""data stewards"" OR ""data stewardship"" OR ""data stewarding"")",,,,,potential,
data,management,"""data governance""",,,,,potential,
data,management,"(""data management"" OR ""data manager"" OR ""data managers"")",,title,,2026-05-14,potential,"demoted to title"
data,management,"""data sharing""",,title,,2026-05-14,potential,"demoted to title"
data,management,"(""data reuse"" OR ""data reusability"")",,,,,potential,
data,management,"(""FAIR principles"" OR ""FAIR guiding principles"" OR ""FAIR data"" OR ""FAIR datasets"")",,,,,potential,
data,metadata,metadata,,,,,potential,
data,metadata,"""variable level metadata""",,,,,potential,
data,metadata,"""item level metadata""",,,,,potential,
data,metadata,"(""common data element"" OR ""common data elements"")",,,,,potential,
data,metadata,"(""shared terminology"" OR ""shared terminologies"")",,,,,potential,
data,metadata,"(""standardized keyword"" OR ""standarized keywords"")",,,,,potential,
data,metadata,"(""data dictionary"" OR ""data dictionaries"")",,,,,potential,
data,metadata,codebook*,,,,,potential,
data,standards,"(""data standard"" OR ""data standards"" OR ""data standardization"" OR ""data standardisation"")",,,,,potential,
data,standards,"(""consensus standard"" OR ""consensus standards"")",,,,,potential,
data,standards,"(""community standard"" OR ""community standards"")",,,,,potential,
data,standards,"(""community endorsed standard"" OR ""community endorsed standards"")",,,,,potential,
data,standards,"(""shared schema"" OR ""shared schemas"")",,,,,potential,
