openalex_id,doi,url,title,publication_year,authors,source,publisher,issn,volume,issue,pages,keywords,abstract,type,q1_scope,q2_overview,q3_diagnostics_frameworks,q4_narratives,rationale,error_log,source_type,is_oa,oa_url,cited_by_count,countries,institutions,topics,sdgs,funders
W4285655284,https://doi.org/10.1158/1538-7755.modpop19-ia22,https://doi.org/10.1158/1538-7755.modpop19-ia22,Abstract IA22: Insights from adopting a data commons approach: The California Teachers Study,2020,Jim Lacey,Cancer Epidemiology Biomarkers & Prevention,American Association for Cancer Research,1055-9965,29,9_Supplement,IA22,Cloud computing; Epidemiology; Data science; Cancer; Computer science; Medicine; Pathology,"Abstract Background: Cancer epidemiology studies offer unique value to the cancer research enterprise. With large populations and detailed data, including repeat measurements, collected over many years, cancer epidemiology studies contribute immensely to the understanding of real-world cancer risks and outcomes. To accelerate research, discovery, and translation, and to reduce the overall burden of cancer, the NCI has embraced the vision, as outlined by the Cancer Moonshot Blue Ribbon Panel, of creating a national cancer data ecosystem that enables “all participants across the cancer research and care continuum to contribute, access, combine, and analyze diverse data.” The cancer data ecosystem will integrate data from many domains using an overall infrastructure that leverages the elasticity, scalability, and security of cloud computing. The first components of the ecosystem are based on genomics and imaging. Other areas, including biomarkers, animal models, clinical trials, EHRs, and observational studies, will follow. Including data from the dozens of ongoing cancer epidemiology studies, and especially the prospective cancer epidemiology cohorts, that exist today would greatly enhance the cancer data ecosystem. However, many of these existing studies began before cloud computing existed and do not use cloud computing to store, manage, analyze, and share their data. Cancer epidemiology studies today must decide how to transition from their legacy data approaches to the types of cloud-first approach the national cancer data ecosystem requires. Methods: The California Teachers Study (CTS) is a large and prospective cancer epidemiology cohort that began in 1995-1996. In 2014, the CTS decided to adopt cloud computing to improve the quality, speed, and visibility of its data collection, management, analysis, and sharing. Since 2015, in partnership with the San Diego Supercomputer Center and funded by award U01-CA199277, the CTS has installed a new, innovative, and secure yet flexible infrastructure that includes a data warehouse, data marts, and shared workspace. Results: The CTS infrastructure contains the technical, security, data, and process features necessary to participate in the national cancer data ecosystem. Our novel solution serves as a prototype that other cancer epidemiology studies—and other observational studies and cohorts in general—can emulate. In designing, developing, and deploying this CTS solution, our team encountered a number of challenges that are likely not unique to the CTS and that other observational studies and cohorts are likely to encounter as they modernize their data and infrastructure. This presentation will discuss lessons learned in three key areas that the CTS encountered during our data-modernization process. First, although cancer epidemiology has always been multidisciplinary, the transition to a cancer data ecosystem creates opportunities for even broader collaborations with new partners, both public and private. Second, a central benefit of the national cancer data ecosystem is to process data via standardized pipelines. This should incentivize cancer epidemiology studies to prioritize standardization of common cancer epidemiologic data activities. Third, the cancer data ecosystem creates opportunities for new entities, and not just traditional NIH-funded cancer epidemiology studies, to meaningfully contribute to the observational research landscape. Although competition for funding and relevance seems likely to increase, the overall effects on the cancer research enterprise could be positive. Conclusion: Observational studies, and especially cancer epidemiology studies, will be a vital component of the national cancer data ecosystem, but existing cancer epidemiology studies will need to drastically and rapidly modernize their core data processes and infrastructure before that can occur. As an early adopter of cloud computing and the key foundational principles of the cancer data ecosystem, the CTS has developed a fully functioning and successful example of how existing cancer epidemiology studies can modernize their infrastructure in ways that preserve their unique strengths and further increase their immense potential and value. Citation Format: Jim Lacey. Insights from adopting a data commons approach: The California Teachers Study [abstract]. In: Proceedings of the AACR Special Conference on Modernizing Population Sciences in the Digital Age; 2019 Feb 19-22; San Diego, CA. Philadelphia (PA): AACR; Cancer Epidemiol Biomarkers Prev 2020;29(9 Suppl):Abstract nr IA22.",article,True,True,True,True,"The paper is in scope as it discusses the California Teachers Study's (CTS) modernization efforts to integrate into a national cancer data ecosystem, involving diverse data domains and standardization. It serves as an overview of the CTS's specific data modernization initiative as a prototype. The paper also extracts generalized lessons and challenges from the CTS experience, making it relevant for macroscopic frameworks and diagnostics. Finally, it functions as an experience report, detailing the 'lessons learned' during the CTS's implementation process.",,journal,False,,0,US,City of Hope,"Health, Environment, Cognitive Aging; Artificial Intelligence in Healthcare","Industry, innovation and infrastructure",
W3204822411,https://doi.org/10.3390/su131911018,https://doi.org/10.3390/su131911018,"Development and Assessment of a Web-Based National Spatial Data Infrastructure for Nature-Based Solutions and Their Social, Hydrological, Ecological, and Environmental Co-Benefits",2021,"Cyndi V. Castro, Hanadi S. Rifai",Sustainability,Multidisciplinary Digital Publishing Institute,2071-1050,13,19,11018,Geospatial analysis; Sustainability; Spatial data infrastructure; Context (archaeology); Cyberinfrastructure; Interoperability; Knowledge management; Thematic map; Sustainable development; Data science; Process management; Computer science; Environmental resource management; Business; Spatial analysis; Geography; Political science; World Wide Web; Ecology; Remote sensing; Cartography,"Comprehensive datasets for nature-based solutions (NBS), and their diverse relationships have not yet been accumulated into a deployable format. This research describes the development of a novel National Spatial Data Infrastructure (NSDI) system for NBS co-benefits throughout the contiguous United States. Here, we gather and integrate robust geospatial datasets from the social, ecological, environmental, and hydrologic domains using seamless, cloud-based data services to facilitate the trans-disciplinary assessment of NBSs as a function of society and Earth. This research enhances practical decision making and research by assimilating web-based datasets and describing the missing links between national policy and robust adoption of NBSs as a sustainability solution. This NSDI serves to foster participatory planning capabilities and integrate local sustainability goals into decision–support frameworks. Such a platform strengthens the knowledge base necessary for addressing multiple, co-evolving issues of societal relevance, an essential component of fully espousing NBSs within the realm of socio-technological systems and improving policies and implementation regarding sustainable solutions. The efficacy of the proposed platform to serve as a holistic data information system is assessed by exploring important characteristics associated with geospatial NSDI tools, namely, openness, spatial functionality, scalability, and standardization. By placing GIS strengths and weaknesses in the context of transdisciplinary NBSs, we reveal strategic directions toward further co-production of such NSDIs. We conclude with recommendations for facilitating a shared vision of transdisciplinary technologies to strengthen the amalgamation of broad co-benefits and multi-disciplinary influences in sustainability planning.",article,True,True,True,True,"The paper describes the development and assessment of a novel National Spatial Data Infrastructure (NSDI) for Nature-Based Solutions, integrating data from diverse scientific domains with a focus on standardization and co-production, thus being in scope. Its primary purpose is to introduce and describe this specific NSDI. The paper also diagnoses challenges and provides recommendations for facilitating a shared vision of transdisciplinary technologies, aligning with macroscopic frameworks. Furthermore, it evaluates the platform's efficacy and reveals strategic directions for its co-production, serving as an experience report on the implementation process.",,journal,True,https://www.mdpi.com/2071-1050/13/19/11018/pdf?version=1633746232,16,US,University of Houston,Land Use and Ecosystem Services; Urban Green Space and Health; Species Distribution and Climate Change,,National Science Foundation
W4311484933,https://doi.org/10.1016/j.oceano.2022.11.002,https://doi.org/10.1016/j.oceano.2022.11.002,"A Marine Spatial Data Infrastructure to manage multidisciplinary, inhomogeneous and fragmented geodata in a FAIR perspective ... the Adriatic Sea experience",2022,"Federica Foglini, Valentina Grande",Oceanologia,Elsevier BV,0078-3234,65,1,260-277,Interoperability; Computer science; Multidisciplinary approach; Metadata; Spatial data infrastructure; Reuse; Cloud computing; Spatial analysis; Data science; Environmental resource management; Database; Environmental science; Geography; World Wide Web; Remote sensing; Engineering,"The Institute of Marine Sciences (ISMAR) and the Institute of Polar Sciences (ISP) of the Italian National Research Council (CNR) have gathered a substantial amount of heterogeneous geodata through the years in the Adriatic Sea, with different methodologies and for multiple scopes regarding geological, oceanographic, biological, anthropogenic aspects, and their interactions. To overcome challenges in datasets heterogeneity and fragmentation, a Marine Spatial Data Infrastructure (MSDI) has been set up, with the aim to integrate and preserve geodata, foster their reuse (e.g. the generation of scenarios for geological past and future developments by the application of numerical models), and ensure a good degree of FAIRness (FAIR: Findable, Accessible, Interoperable, and Reusable). The MSDI consists of a Spatial Relational Database Management System (RDBMS) based on specific data models designed following in part the INSPIRE Directive data specifications, a WebGIS, a metadata catalogue, and a cloud system. This paper shows the potentialities of this MSDI and discusses the main implementation steps, the elements that make up the infrastructure, the level of FAIRness reached, the main elements promoting FAIRness, and the gaps to be covered. Compliance with the FAIR principles represents a fundamental step to developing interoperability with European and international marine data management infrastructures for handling and exchanging multidisciplinary data.",article,True,True,False,True,"Q1 is TRUE because the paper addresses interdisciplinary data (geological, oceanographic, biological) and focuses on FAIR principles, data heterogeneity, and interoperability for research data. Q2 is TRUE as it describes a specific initiative, the ""Marine Spatial Data Infrastructure (MSDI)"" for the Adriatic Sea. Q3 is FALSE because it focuses on the implementation of a specific regional project rather than proposing macroscopic, generalized frameworks or diagnosing systemic, structural challenges broadly. Q4 is TRUE because it discusses the ""main implementation steps"" and ""gaps to be covered"" for the specific MSDI, acting as an experience report or case study of its design and implementation.",,journal,True,https://doi.org/10.1016/j.oceano.2022.11.002,15,IT,Istituto di Scienze Marine del Consiglio Nazionale delle Ricerche; National Research Council,Geological Modeling and Analysis; Geographic Information Systems Studies; Research Data Management Practices,"Industry, innovation and infrastructure",
W4366990216,https://doi.org/10.1080/17538947.2023.2198778,https://doi.org/10.1080/17538947.2023.2198778,Approaches and tools for user-driven provenance and data quality information in spatial data infrastructures,2023,"Julia Fischer, Lukas Egli, Juliane Groth, Caterina Barrasso, Steffen Ehrmann, Heiko Figgemeier, Christin Henzen, Carsten Meyer, R. Müller-Pfefferkorn, Arne Rümmler, Michael Wagner, Lars Bernard, Ralf Seppelt",International Journal of Digital Earth,Taylor & Francis,1753-8947,16,1,1510-1529,Computer science; Metadata; Data quality; Geospatial analysis; Data science; Workflow; Interoperability; Database; Information retrieval; World Wide Web; Data mining; Geography; Engineering,"Geospatial data are fundamental in most global-change and sustainability-related domains. However, readily accessible information on data quality and provenance is often missing or hardly accessible for users due to technical or perceptual barriers, for example, due to unstructured metadata information or missing references. Within an interdisciplinary process encompassing perspectives of data users, data producers, and software developers, we identified major needs to facilitate effective fitness-for-use assessments by data users and developed approaches to address these. We provided a stylized analysis of large-scale land use data to showcase selected approaches. To support data users, interoperable quality and provenance information need to be meaningfully represented. Data producers need efficient workflows and tools supporting them in creating high-quality, structured and detailed quality and provenance information. Our newly developed approaches to increase the availability of structured metadata synthesize new and existing tools to extract metadata or to generate provenance data during processing. Within our approaches to improve interoperability and accessibility we present novel tools to support (i) the creation of curated and linked registers of data quality indicators and thematic terms, and (ii) linked visualization of data quality and provenance information. Following our approaches increases transparency, facilitates fitness-for-use assessments, and ultimately improves research quality.",article,True,False,True,True,"The paper is in scope as it addresses interdisciplinary challenges in making geospatial research data FAIR through structured metadata, provenance, and interoperability. It does not introduce a specific named initiative, making Q2 false. However, it diagnoses systemic challenges related to data quality and provenance and proposes generalized approaches, making Q3 true. It also describes the 'interdisciplinary process' of identifying needs and developing these approaches, which constitutes a narrative of how such efforts were designed, making Q4 true.",,journal,True,https://doi.org/10.1080/17538947.2023.2198778,8,DE,Leipzig University; Helmholtz Centre for Environmental Research; Martin Luther University Halle-Wittenberg; German Centre for Integrative Biodiversity Research; Technische Universität Dresden,Research Data Management Practices; Scientific Computing and Data Management; Species Distribution and Climate Change,"Industry, innovation and infrastructure",Bundesministerium für Bildung und Forschung
W4404885464,https://doi.org/10.1002/pan3.10766,https://doi.org/10.1002/pan3.10766,Conservation data infrastructures: From carbon accounting to multiple biodiversity and social measures,2024,"Danilo Urzedo, Nikki P. Dumbrell, Cathy Robinson",People and Nature,Wiley,2575-8314,7,1,265-277,Biodiversity; Business; Accounting; Carbon accounting; Environmental resource management; Environmental science; Data science; Computer science; Ecology; Climate change; Biology,"Abstract Environmental big data and analytical models are increasingly informing conservation efforts to address global climate and biodiversity crises. Yet, the growing reliance on data‐driven approaches raises concerns regarding biases, uncertainties, and injustices in environmental decision‐making processes. This article presents ‘conservation data infrastructures’ as socio‐technical processes of conceiving, producing, and distributing conservation data that affect multifaceted decisions and practices. Drawing on major carbon conservation programs in Australia and Brazil, we assess how data‐driven investment planning and project assessments set what is valued, how it is measured, and whose interests are accounted for. Both case studies reveal how technological innovations expand carbon accounting methods by integrating ecological and social data with advanced analytical models to encompass a wide range of place‐based impacts. However, data‐driven solutions alone may not lead to transformative changes that fully address existing disparities in environmental priorities and benefit distribution across scales. We conclude that the proposed notion of data infrastructures not only reveals socio‐technical limitations but also elevates multiple perspectives and local realities to reimagine and rework conservation measures. Read the free Plain Language Summary for this article on the Journal blog.",article,True,False,True,True,"The paper is in scope as it discusses interdisciplinary 'conservation data infrastructures' and the socio-technical processes of conceiving and distributing data, integrating ecological and social data. It does not introduce a specific initiative but rather proposes a conceptual framework and diagnoses systemic challenges related to how data is valued and measured. It also evaluates the implementation and socio-technical limitations of existing carbon conservation programs, extracting lessons learned.",,journal,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pan3.10766,3,AU,ACT Government; Agriculture and Food; Commonwealth Scientific and Industrial Research Organisation; Charles Darwin University,"Conservation, Biodiversity, and Resource Management; Land Use and Ecosystem Services; Sustainability and Climate Change Governance",,
W4412841342,https://doi.org/10.2218/ijdc.v19i1.1092,https://doi.org/10.2218/ijdc.v19i1.1092,Base4NFDI: Fostering A Cross-Disciplinary Service Landscape For The German National Research Data Infrastructure,2025,"Sandra Zänkert, Antje Manske, Bernhard Miller, Juliane Fluck",International Journal of Digital Curation,University of Edinburgh,1746-8256,19,1,7,Cross disciplinary; German; Discipline; Service (business); Knowledge management; Sociology; Data science; Business; Computer science; Geography; Social science; Archaeology; Marketing,"Base4NFDI is a joint initiative by the 26 consortia of the German National Research Data Infrastructure (NFDI), aiming to develop essential cross-disciplinary basic services that enable FAIR data practices. Through a proposal-driven, bottom-up process, Base4NFDI supports technical and organisational solutions, such as identity and access management, computing, software, and workflows that serve the NFDI community. Proposals emerge from NFDI sections, where domain and infrastructure experts collaborate across disciplines. The role of Base4NFDI is to provide and orchestrate a multi-stakeholder process to decide which services to fund and to ensure coherence through structured development phases (Initialisation, Integration, and Ramp-Up), supported by staff who facilitate coordination and quality assurance. So far, eight candidates are under development, such as IAM4NFDI, TS4NFDI, and Jupyter4NFDI. This brief report introduces the Base4NFDI approach, outlines the decision-making and support processes, introduces current service candidates, shares early experiences and challenges, and provides an outlook on sustainability and international interoperability, particularly with the European Open Science Cloud (EOSC).",article,True,True,True,True,"The paper is in scope as it describes Base4NFDI, a national, interdisciplinary initiative focused on developing cross-disciplinary services for FAIR data practices across diverse research communities, addressing sociotechnical aspects. It serves as a definitive overview of this specific initiative. The paper also outlines a macroscopic framework for implementing these services and shares early experiences and challenges, aligning with both diagnostics/frameworks and narratives.",,journal,True,https://ijdc.net/index.php/ijdc/article/download/1092/746,0,DE,ZB MED - Information Centre for Life Sciences; GESIS - Leibniz-Institute for the Social Sciences,Research Data Management Practices; Scientific Computing and Data Management; Data Quality and Management,,Deutsche Forschungsgemeinschaft
W1913239667,https://doi.org/10.1080/10095020.2015.1065048,https://doi.org/10.1080/10095020.2015.1065048,SDI planning using the system dynamics technique within a community of practice: lessons learnt from Tanzania,2015,"Ali Mansourian, Alex Lubida, Petter Pilesjö, Ehsan Abdolmajidi, Monica Lassi",Geo-spatial Information Science,Taylor & Francis,1009-5020,18,2-3,97-110,Tanzania; Stakeholder; Plan (archaeology); Process management; Process (computing); Usability; Knowledge management; Computer science; Spatial planning; Stakeholder engagement; Business; Management science; Environmental planning; Political science; Public relations; Engineering; Geography,"There exist major challenges in accelerating the spatial data infrastructure (SDI) planning process in the developing countries as well as advocating for politicians to support the development of SDI, due to the high complexity of SDI, lack of knowledge and experience, and limited insight in the benefits. To address these challenges, a methodology for SDI planning in Tanzania, based on the system dynamics technique and the communities of practice concept, was adopted and applied within a community consisting of experts from stakeholder organizations. The groups gathered to develop an SDI plan, while they shared their knowledge and discussed their ideas that helped their understanding of SDI. By running the system dynamics model, the development of SDI over time could be simulated that gave the planning community an insight about the future effects of today’s plans and decisions. Finally, an optimum model could be developed by refinements and improvements done with the consensus of the SDI stakeholders. This model included the components and policies that are essential for a successful SDI implementation in Tanzania and can be used as a basis for SDI planning and help to gain political support. Lessons learnt from this research were promising regarding the usability of the methodology for SDI planning in comparable countries.",article,True,False,True,True,"Q1 is true because the paper describes an interdisciplinary effort among diverse stakeholders to plan a spatial data infrastructure (SDI), focusing on sociotechnical aspects of consensus-building for data stewardship. Q2 is false as it presents a methodology for SDI planning, not a definitive overview of a specific, named infrastructure. Q3 is true because it diagnoses systemic challenges in SDI planning and proposes a generalized methodology and an 'optimum model' as a framework for implementation. Q4 is true as it serves as an experience report, detailing the application of a methodology within a community of practice and extracting 'lessons learnt' about the process of developing an SDI plan and achieving stakeholder consensus.",,journal,True,https://www.tandfonline.com/doi/pdf/10.1080/10095020.2015.1065048?needAccess=true,7,SE,Lund University,E-Government and Public Services; Geographic Information Systems Studies; Innovative Approaches in Technology and Social Development,"Industry, innovation and infrastructure; Partnerships for the goals",
W4388661061,https://doi.org/10.1017/cts.2023.681,https://doi.org/10.1017/cts.2023.681,The N3C governance ecosystem: A model socio-technical partnership for the future of collaborative analytics at scale,2023,"Christine Suver, Jeremy Harper, Johanna Loomba, Mary Saltz, Julian Solway, Alfred Anzalone, Kellie M Walters, Emily Pfaff, Anita Walden, Julie A. McMurry, Christopher G. Chute, Melissa Haendel",Journal of Clinical and Translational Science,Cambridge University Press,2059-8661,7,1,e252,Data governance; Data sharing; Business; Analytics; General partnership; Corporate governance; Government (linguistics); Big data; Knowledge management; Collaborative governance; Information sharing; Public relations; Data science; Computer science; Political science; Marketing; Data quality; Medicine,"The National COVID Cohort Collaborative (N3C) is a public-private-government partnership established during the Coronavirus pandemic to create a centralized data resource called the ""N3C data enclave."" This resource contains individual-level health data from participating healthcare sites nationwide to support rapid collaborative analytics. N3C has enabled analytics within a cloud-based enclave of data from electronic health records from over 17 million people (with and without COVID-19) in the USA. To achieve this goal of a shared data resource, N3C implemented a shared governance strategy involving stakeholders in decision-making. The approach leveraged best practices in data stewardship and team science to rapidly enable COVID-19-related research at scale while respecting the privacy of data subjects and participating institutions. N3C balanced equitable access to data, team-based scientific productivity, and individual professional recognition - a key incentive for academic researchers. This governance approach makes N3C research sustainable and effective beyond the initial days of the pandemic. N3C demonstrated that shared governance can overcome traditional barriers to data sharing without compromising data security and trust. The governance innovations described herein are a helpful framework for other privacy-preserving data infrastructure programs and provide a working model for effective team science beyond COVID-19.",article,True,True,True,True,"The paper is in scope as it describes an interdisciplinary, socio-technical partnership (N3C) focused on data stewardship and governance for a shared research data resource. It serves as a definitive overview of the N3C initiative and its governance ecosystem. It also proposes a macroscopic framework for effective team science and privacy-preserving data infrastructure programs. Finally, it evaluates how N3C's governance was implemented, highlighting lessons learned about overcoming data sharing barriers.",,journal,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/123D787DEDE816A899D8ECCC9C244A26/S2059866123006817a.pdf/div-class-title-the-n3c-governance-ecosystem-a-model-socio-technical-partnership-for-the-future-of-collaborative-analytics-at-scale-div.pdf,10,US,Johns Hopkins University; University of Chicago; Stony Brook University; Indiana University Health; University of Colorado Anschutz Medical Campus; University of North Carolina at Chapel Hill; University of Nebraska Medical Center; University of Virginia; Sage Bionetworks,Scientific Computing and Data Management; Privacy-Preserving Technologies in Data; Research Data Management Practices,Partnerships for the goals,"Bill and Melinda Gates Foundation; University of Utah; Vanderbilt University Medical Center; Clinical and Translational Science Institute, Boston University; Institute of Clinical and Translational Sciences; Georgia Clinical and Translational Science Alliance; West Virginia University; Clinical and Translational Science Center, University of New Mexico; University of Miami; Weill Cornell Medical College; Institute for Clinical and Translational Science, University of California, Irvine; Wake Forest Clinical and Translational Science Institute, Wake Forest School of Medicine; Ohio State University; Children's Hospital of Philadelphia; Louisiana Clinical and Translational Science Center; Vanderbilt University; University of Cincinnati; Vanderbilt Institute for Clinical and Translational Research; Center for Clinical and Translational Science, Mayo Clinic; Wake Forest University; Harvard Catalyst; Irving Medical Center, Columbia University; University of Texas Medical Branch; Children's Hospital Colorado; Southern California Clinical and Translational Science Institute; Colorado Clinical and Translational Sciences Institute; Cincinnati Children's Hospital Medical Center; University of Southern California; University of California, Los Angeles; Institute of Translational Health Sciences; Michigan Institute for Clinical and Health Research; Institute for Translational Medicine and Therapeutics; South Carolina Clinical and Translational Research Institute, Medical University of South Carolina; National Institute of General Medical Sciences; Center for Clinical and Translational Science, University of Massachusetts; Washington University in St. Louis; Translational Research Institute, University of Arkansas for Medical Sciences; Tufts Medical Center; National Center for Advancing Translational Sciences; Institute for Clinical and Translational Research, University of Wisconsin, Madison; University of Wisconsin-Madison; Virginia Commonwealth University; Oregon Clinical and Translational Research Institute; Georgetown-Howard Universities Center for Clinical and Translational Science; Yale Center for Clinical Investigation, Yale School of Medicine; University of California, San Diego; Clinical and Translational Science Institute, University of Florida; Center for Clinical and Translational Research; Rutgers, The State University of New Jersey; University of Michigan; University of Washington; University of Rochester; University of Arkansas for Medical Sciences; Northwestern University; Center for Clinical and Translational Sciences, University of Texas Health Science Center at Houston; National Institutes of Health; University of Minnesota; West Virginia Clinical and Translational Science Institute; Children's National Hospital; Penn State Clinical and Translational Science Institute; University of Nebraska Medical Center"
W2310540074,https://doi.org/10.3390/ijgi5040041,https://doi.org/10.3390/ijgi5040041,Data Management in Collaborative Interdisciplinary Research Projects—Conclusions from the Digitalization of Research in Sustainable Manufacturing,2016,"Wei Min Wang, T Göpfert, Rainer Stark",ISPRS International Journal of Geo-Information,Multidisciplinary Digital Publishing Institute,2220-9964,5,4,41,Knowledge management; Task (project management); Ontology; Data management; Conceptual framework; Discipline; Process management; Data exchange; Computer science; Engineering management; Engineering; World Wide Web; Systems engineering; Sociology; Database,"As research topics become increasingly complex, large scale interdisciplinary research projects are commonly established to foster cross-disciplinary cooperation and to utilize potential synergies. In the case of the Collaborative Research Center (CRC) 1026, 19 individual projects from different disciplines are brought together to investigate perspectives and solutions for sustainable manufacturing. Beside overheads regarding the coordination of activities and communication, such interdisciplinary projects are also facing challengs regarding data management. For exchange and combination of research results, data from individual projects have to be stored systematically, categorized, and linked according to the logical interrelations of the involved disciplinary knowledge domains. In the CRC 1026, the project for information infrastructure observed and analysed collaboration practices and developed IT-supported solutions to facilitate and foster research collaboration. Data management measures in this period were mainly focused on building a shared conceptual framework, and the organization of task related data. For the former aspect, an ontology basesd apporach was developed and prototypically implemented. For the latter aspect, a message board integrated task management system was developed and applied.",article,True,True,False,True,"The paper is in scope as it discusses interdisciplinary data management challenges and an ontology-based approach for conceptual harmonization within a research project. It provides an overview of the specific data management efforts and solutions developed by the information infrastructure project within the CRC 1026. However, the challenges and solutions are specific to this project, not macroscopic frameworks or generalized diagnoses. The paper serves as an experience report, detailing how the project observed practices and implemented specific data management solutions.",,journal,True,https://www.mdpi.com/2220-9964/5/4/41/pdf?version=1458716323,20,DE,Humboldt-Universität zu Berlin; Fraunhofer Institute for Production Systems and Design Technology; Technische Universität Berlin,Semantic Web and Ontologies; Business Process Modeling and Analysis; Sustainable Industrial Ecology,"Industry, innovation and infrastructure",Deutsche Forschungsgemeinschaft
W4385038678,https://doi.org/10.1145/3610179,https://doi.org/10.1145/3610179,"Co-creating a Transdisciplinary Map of Technology-mediated Harms, Risks and Vulnerabilities: Challenges, Ambivalences and Opportunities",2023,"Andrés Domínguez Hernández, Kopo M. Ramokapane, Partha Das Chowdhury, Ola Michalec, Emily Johnstone, Emily Godwin, Alicia Cork, Awais Rashid",Proceedings of the ACM on Human-Computer Interaction,Association for Computing Machinery,2573-0142,7,CSCW2,1-21,Environmental planning; Engineering ethics; Risk analysis (engineering); Business; Political science; Geography; Engineering,"The phrase ""online harms'' has emerged in recent years out of a growing political willingness to address the ethical and social issues associated with the use of the Internet and digital technology at large. The broad landscape that surrounds online harms gathers a multitude of disciplinary, sectoral and organizational efforts while raising myriad challenges and opportunities for the crossing entrenched boundaries. In this paper we draw lessons from a journey of co-creating a transdisciplinary knowledge infrastructure within a large research initiative animated by the online harms agenda. We begin with a reflection of the implications of mapping, taxonomizing and constructing knowledge infrastructures and a brief review of how online harm and adjacent themes have been theorized and classified in the literature to date. Grounded on our own experience of co-creating a map of online harms, we then argue that the map---and the process of mapping---perform three mutually constitutive functions, acting simultaneously as method, medium and provocation. We draw lessons from how an open-ended approach to mapping, despite not guaranteeing consensus, can foster productive debate and collaboration in ethically and politically fraught areas of research. We end with a call for CSCW research to surface and engage with the multiple temporalities, social lives and political sensibilities of knowledge infrastructures.",article,True,True,True,True,"The paper is in scope as it describes co-creating a transdisciplinary knowledge infrastructure and map of online harms, focusing on the sociotechnical challenges of harmonizing knowledge across disciplines. It serves as an overview of this specific mapping effort (Q2). It extracts generalized lessons and functions of mapping as a framework for such efforts (Q3). Finally, it is an experience report detailing the 'journey of co-creating' the map and infrastructure, extracting lessons learned about the process (Q4).",,journal,True,https://dl.acm.org/doi/pdf/10.1145/3610179,5,GB,University of Bristol; University of Bath,Innovative Approaches in Technology and Social Development; Innovative Human-Technology Interaction,"Industry, innovation and infrastructure",UK Research and Innovation; National Research Centre
