Query_Type,Context_Subgroup,Context_Term,Data_Subgroup,Data_Term,Hit_Count
ANY Context AND Specific Data,ANY,ANY,infrastructure,"""data commons""",26
ANY Context AND Specific Data,ANY,ANY,infrastructure,"""knowledge commons""",19
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""data infrastructure"" OR ""data infrastructures"")",269
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""information infrastructure"" OR ""information infrastructures"")",165
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""knowledge infrastructure"" OR ""knowledge infrastructures"")",69
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""data repository"" OR ""data repositories"" OR ""dataset repository"" OR ""dataset repositories"")",139
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""data portal"" OR ""data portals"")",43
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""community data system"" OR ""community data systems"")",1
ANY Context AND Specific Data,ANY,ANY,infrastructure,"(""community infrastructure project"" OR ""community infrastructure projects"")",1
ANY Context AND Specific Data,ANY,ANY,interoperability,"(""data harmonization"" OR ""data harmonisation"" OR ""data harmonizability"" OR ""data harmonisability"")",21
ANY Context AND Specific Data,ANY,ANY,interoperability,"(""construct harmonization"" OR ""construct harmonisation"" OR ""construct harmonizability"" OR ""construct harmonisability"")",0
ANY Context AND Specific Data,ANY,ANY,interoperability,"""data integration""",371
ANY Context AND Specific Data,ANY,ANY,interoperability,"""FAIR data integration""",2
ANY Context AND Specific Data,ANY,ANY,interoperability,"(""data interoperability"" OR ""interoperable data"" OR ""interoperable datasets"")",60
ANY Context AND Specific Data,ANY,ANY,interoperability,"""catalog interoperability""",1
ANY Context AND Specific Data,ANY,ANY,interoperability,"""data discovery""",65
ANY Context AND Specific Data,ANY,ANY,interoperability,"(""data connectivity"" OR ""connecting data"" OR ""connect data"")",18
ANY Context AND Specific Data,ANY,ANY,KOS,"(""knowledge organization system"" OR ""knowledge organization systems"" OR ""knowledge organisation system"" OR ""knowledge organisation systems"")",28
ANY Context AND Specific Data,ANY,ANY,KOS,(ontology OR ontologies),3071
